longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-121.27,38.7,16,3747,586,1817,590,4.6488,145300,INLAND
-122.25,37.77,43,4329,1110,2086,1053,2.975,243400,NEAR BAY
-119.8,36.79,45,1337,187,471,187,5.187,153800,INLAND
-117.14,32.81,34,1748,294,800,294,4.4886,179100,NEAR OCEAN
-124.16,40.8,52,1703,500,952,435,1.1386,74100,NEAR OCEAN
-122.28,41.38,15,5266,1031,2147,885,2.8036,110100,INLAND
-117.93,33.92,34,2271,437,1393,433,4.2443,174400,<1H OCEAN
-117.14,32.75,19,1358,613,766,630,1.0353,150000,NEAR OCEAN
-118.23,33.94,36,1110,NA,1417,302,2.3333,92100,<1H OCEAN
-117.22,33.2,31,1736,277,801,292,4.4844,205500,<1H OCEAN
-119.88,34.4,25,2741,623,2272,624,2.2647,216700,NEAR OCEAN
-117.07,32.61,22,5016,1331,3222,1196,2.1441,135500,NEAR OCEAN
-117.66,34.05,33,960,216,831,222,2.5391,108600,INLAND
-121.89,37.49,9,4909,577,1981,591,9.7194,500001,<1H OCEAN
-118.19,34.77,16,2035,370,704,330,2.1979,146400,INLAND
-122.13,37.67,38,2012,347,880,332,3.1734,181600,NEAR BAY
-118.18,33.83,39,3622,745,1330,648,3.3125,425500,NEAR OCEAN
-122.68,38.4,32,2826,627,1767,628,3.1047,141400,<1H OCEAN
-119.75,36.76,32,2072,497,2002,470,1.3278,44500,INLAND
-118.08,34.01,34,1914,549,2122,529,2.5969,150200,<1H OCEAN
-122.35,37.97,43,2178,482,1545,471,2.5863,112200,NEAR BAY
-118.2,34.14,51,1941,378,1012,371,3.9375,217000,<1H OCEAN
-117.42,34.11,25,4261,893,2319,702,3.3958,111900,INLAND
-122.74,38.43,11,4670,1007,2430,962,3.0341,142300,<1H OCEAN
-121.93,37.93,16,2169,262,877,245,6.6049,312600,INLAND
-121.78,37.69,35,2853,588,1761,572,4.3533,168400,INLAND
-118.32,34.04,47,1989,532,1430,519,1.8333,151100,<1H OCEAN
-118.43,34.26,37,1269,348,1835,335,3.2583,147200,<1H OCEAN
-116.32,33.28,19,1791,367,327,185,3.3625,100000,INLAND
-117.31,34.41,14,3019,643,1639,582,1.5288,103400,INLAND
-118.31,34.02,45,1423,278,822,276,2.4519,98100,<1H OCEAN
-120.45,34.95,32,1574,447,1772,463,1.8625,90200,<1H OCEAN
-121.98,37.82,18,9117,1248,3280,1167,8.003,351300,<1H OCEAN
-122.46,37.76,52,1817,449,948,380,3.93,390000,NEAR BAY
-114.61,33.62,16,1187,261,1115,242,2.1759,61500,INLAND
-118.32,33.98,40,1298,277,791,255,3.2344,104300,<1H OCEAN
-117.13,32.93,16,2918,444,1697,444,5.3062,195500,<1H OCEAN
-118.48,34.07,29,4767,777,1500,638,10.7937,500001,<1H OCEAN
-118.24,33.94,39,1215,273,1211,265,1.7212,95500,<1H OCEAN
-118.27,33.95,34,1261,315,1027,303,2.2946,88800,<1H OCEAN
-118.54,34.18,25,1938,457,1280,425,3.9632,240300,<1H OCEAN
-118.12,34.11,48,2124,319,785,319,5.2131,359600,<1H OCEAN
-117.03,34.07,16,3784,577,1615,525,4.2333,220300,INLAND
-119.11,34.17,37,470,105,522,83,2.0368,243800,NEAR OCEAN
-117.84,33.74,22,6072,1802,4715,1666,3.1353,121400,<1H OCEAN
-120.79,36.06,29,1916,386,1019,314,2.4881,87500,<1H OCEAN
-121.81,38.01,47,1942,430,1074,393,2.2361,105100,INLAND
-119.69,36.46,29,1702,301,914,280,2.8125,79200,INLAND
-117.4,33.85,9,7538,1125,3450,1077,5.4625,223600,INLAND
-118.04,33.98,25,3040,831,1580,735,2.3182,182100,<1H OCEAN
-120.49,37.29,17,2414,594,2487,582,1.0955,62700,INLAND
-117.96,33.68,24,6517,1279,3441,1198,4.25,152100,<1H OCEAN
-116.05,34.12,19,301,65,150,56,3.125,65600,INLAND
-117.35,33.98,31,4163,1242,3928,1076,1.6943,85900,INLAND
-117.94,34.07,25,1814,404,1187,363,3.3523,170800,<1H OCEAN
-122.85,38.62,16,4418,704,1908,697,4.5913,244600,<1H OCEAN
-122.38,37.6,33,2577,590,1867,566,3.3632,265100,NEAR OCEAN
-115.57,32.8,33,1192,213,1066,211,4.5714,68600,INLAND
-121.59,39.15,48,1783,399,938,374,1.6652,58900,INLAND
-118.39,34.02,38,2447,636,1312,574,3.5909,279400,<1H OCEAN
-122.31,37.56,52,2351,494,1126,482,3.9688,356900,NEAR OCEAN
-117.35,33.16,22,1331,305,580,193,3.975,500001,NEAR OCEAN
-117.89,33.76,34,1050,210,723,201,4.8,192700,<1H OCEAN
-121.81,37.37,26,2987,539,1931,518,5.1099,213100,<1H OCEAN
-120.63,35.13,16,2680,704,975,619,1.7878,55000,<1H OCEAN
-119.31,35.99,26,1460,316,880,286,1.3676,47800,INLAND
-118.36,34.08,45,2195,483,1265,455,3.3864,397900,<1H OCEAN
-118.37,34.09,22,4247,1253,1766,1170,3.1517,341700,<1H OCEAN
-117.64,34.04,21,1801,507,2556,484,2.4716,102500,INLAND
-118.28,34.03,45,943,289,953,238,2.0673,151600,<1H OCEAN
-117.78,33.68,15,1834,330,841,309,6.0634,234300,<1H OCEAN
-117.33,33.19,15,3672,845,1827,796,2.9716,173600,NEAR OCEAN
-121.19,39.55,17,1483,284,481,211,1.4896,83300,INLAND
-117.61,33.67,3,4541,720,1600,583,6.8004,284900,<1H OCEAN
-117.26,33.21,26,1906,408,1325,427,3.0197,136000,<1H OCEAN
-122.11,37.66,36,1755,316,913,299,4.1302,172700,NEAR BAY
-122.19,37.83,29,1791,271,661,269,6.8538,368900,NEAR BAY
-121.44,36.84,7,1644,338,1143,331,4.005,180400,INLAND
-117.73,33.49,17,2168,290,654,279,9.8321,500001,<1H OCEAN
-119.79,36.7,23,1731,363,1210,341,1.3922,49500,INLAND
-120.57,40.43,15,2045,461,1121,402,2.6902,71500,INLAND
-117.46,34.09,8,4711,963,3310,988,3.5488,101600,INLAND
-118.29,34.09,39,336,173,586,151,1.8056,262500,<1H OCEAN
-118.18,34.2,44,1473,250,668,239,8.72,415900,<1H OCEAN
-122.39,37.8,25,4561,1474,1525,1169,4.5581,500001,NEAR BAY
-118.35,33.8,32,1434,296,672,285,4.875,311700,<1H OCEAN
-117.84,33.73,20,2572,732,1534,669,2.4211,175000,<1H OCEAN
-115.93,35.55,18,1321,272,754,226,3.4028,67500,INLAND
-115.94,33.38,5,186,43,41,21,2.7,58800,INLAND
-119.77,36.84,15,1924,262,848,277,5.3886,125300,INLAND
-119.19,34.15,31,4175,1004,3310,954,3.1989,185400,NEAR OCEAN
-118.35,34.09,47,1800,546,921,478,2.8021,280600,<1H OCEAN
-118.37,33.97,26,6672,1729,3333,1557,2.9646,179800,<1H OCEAN
-117.93,33.65,27,1283,406,1063,376,2.75,275000,<1H OCEAN
-121.25,37.95,46,2001,428,1384,401,1.9402,62200,INLAND
-122.47,37.76,48,2064,484,1055,467,2.8711,329600,NEAR BAY
-122.03,37.37,16,3402,1193,1479,1043,3.5861,500001,<1H OCEAN
-118.05,33.73,25,2472,450,1301,467,5.0699,266100,<1H OCEAN
-118.54,34.38,18,2096,309,1044,328,6.8299,262100,<1H OCEAN
-122.22,38.15,7,5129,NA,2824,738,5.5138,171100,NEAR BAY
-124.14,40.78,35,2426,423,982,432,3.4219,92800,NEAR OCEAN
-122.34,37.46,21,1799,293,576,277,7.439,500001,NEAR OCEAN
-118.07,33.9,45,1776,353,1180,337,4.6406,169200,<1H OCEAN
-124.1,40.95,17,1485,345,823,316,1.8993,78400,NEAR OCEAN
-117.23,32.73,44,1168,263,509,256,2.7273,269700,NEAR OCEAN
-121.98,37.35,36,1054,193,546,187,4.5625,240000,<1H OCEAN
-117.12,32.58,34,2003,466,1226,443,3.0613,136700,NEAR OCEAN
-117.41,33.95,37,1462,257,849,287,3.0542,123900,INLAND
-121.33,36.43,40,622,194,902,196,2.625,109100,<1H OCEAN
-119.12,36.69,13,3963,812,1905,671,2.2278,90500,INLAND
-121.32,38.67,10,3908,890,1898,798,2.8426,130600,INLAND
-122.41,37.7,23,1817,400,1376,382,2.4113,214200,NEAR BAY
-118.08,34.58,12,3851,857,2169,811,3.0101,116300,INLAND
-122.25,38,16,2978,411,1531,400,6.5006,237700,NEAR BAY
-118.36,34.19,46,1676,322,846,295,5.1814,209500,<1H OCEAN
-122.23,39.75,16,2026,396,1031,382,1.9375,73100,INLAND
-120.23,37.98,14,1954,368,917,316,3.1523,93300,INLAND
-120.86,37.6,25,1178,206,709,214,4.5625,133600,INLAND
-118.06,34.15,37,1980,226,697,226,15.0001,500001,INLAND
-122.04,37,52,3365,644,796,333,2.9712,116600,NEAR OCEAN
-118.36,33.92,19,2807,883,1546,815,2.6375,233800,<1H OCEAN
-121.81,37.23,16,1674,281,850,254,5.3157,253300,<1H OCEAN
-119.08,36.22,28,1606,320,1158,317,3.0324,55600,INLAND
-121.24,37.96,37,1175,260,951,267,2.875,57700,INLAND
-117.95,33.79,34,2584,408,1233,405,5.6935,218300,<1H OCEAN
-118.42,34.02,26,2664,842,1745,789,3.4269,301900,<1H OCEAN
-120.91,37.74,19,1690,327,855,296,3.25,176700,INLAND
-118.43,34.28,30,1384,308,2054,301,3.0132,142600,<1H OCEAN
-117.89,33.88,33,1582,256,771,240,5.3836,229600,<1H OCEAN
-116.57,33.64,10,489,82,183,74,6.2702,345500,INLAND
-117.14,32.7,40,1227,330,1199,316,1.2188,92500,NEAR OCEAN
-123.43,40.22,20,133,35,87,37,3.625,67500,INLAND
-117.06,33.01,24,2618,485,726,443,3.5192,159100,<1H OCEAN
-117.86,33.74,34,2254,630,2984,625,2.5,162500,<1H OCEAN
-121.2,39.2,16,1039,182,554,184,2.9688,128300,INLAND
-118.12,34.07,43,1050,252,820,244,2.025,215600,<1H OCEAN
-122.09,37.68,29,2333,538,1120,540,2.4042,205600,NEAR BAY
-118.15,34.02,37,2344,631,2195,610,2.7022,151900,<1H OCEAN
-122.01,37.27,28,3825,473,1415,480,10.675,500001,<1H OCEAN
-122.18,37.45,43,2061,437,817,385,4.4688,460200,NEAR BAY
-117.1,32.58,29,1061,202,759,206,4.8646,136800,NEAR OCEAN
-122.36,38.41,18,1808,400,968,370,3.7067,175000,INLAND
-119.81,36.78,37,1965,364,796,335,3.625,83400,INLAND
-117.73,34.04,26,3827,814,3367,810,3.15,129700,INLAND
-118.22,33.82,17,5357,1332,3030,1266,1.9311,138100,NEAR OCEAN
-122.25,37.83,35,1613,428,675,422,3.4722,243100,NEAR BAY
-117.95,33.67,25,1611,383,554,327,3.0417,137300,<1H OCEAN
-118.52,34.4,5,7748,1557,4768,1393,5.305,311200,<1H OCEAN
-122.31,40.65,11,3664,647,1686,613,2.9338,141600,INLAND
-119.32,36.2,25,1427,246,772,221,2.2262,64500,INLAND
-118,33.91,19,5166,770,2374,753,5.979,285200,<1H OCEAN
-121.9,36.59,42,2689,510,1023,459,4.6182,301000,NEAR OCEAN
-118.3,34.1,37,5305,1980,3895,1874,2.0672,283300,<1H OCEAN
-122.17,37.73,46,2163,470,925,435,3.25,177500,NEAR BAY
-124.06,41.13,22,3263,799,1384,578,2.4708,119400,NEAR OCEAN
-117.88,33.75,34,3004,673,5477,640,2.8342,187200,<1H OCEAN
-118.38,34.1,39,3798,586,975,525,9.3092,500001,<1H OCEAN
-117.11,33.75,17,4174,851,1845,780,2.2618,96100,INLAND
-118.46,34.23,20,4609,1499,5349,1377,2.7121,169400,<1H OCEAN
-118.19,33.9,32,2762,652,2677,632,2.5719,105600,<1H OCEAN
-122.14,37.41,35,2419,426,949,433,6.4588,437100,NEAR BAY
-121.35,38.6,27,4314,611,1662,575,5.0997,170100,INLAND
-122.04,39.72,23,2502,481,1443,455,2.5625,70000,INLAND
-117.59,34.16,10,9467,1181,3819,1122,7.8252,361400,INLAND
-118.26,34.07,52,830,200,701,189,2.7625,232100,<1H OCEAN
-122.26,37.83,52,2432,715,1377,696,2.5898,176000,NEAR BAY
-122.08,37.7,25,3402,758,1645,710,3.4934,209900,NEAR BAY
-117.55,33.94,30,5398,926,2672,864,4.4762,163900,INLAND
-122.45,38.51,18,1297,337,610,312,1.9441,184400,INLAND
-117.5,34.66,20,1319,309,486,196,2.0184,84900,INLAND
-118.44,34.01,42,2061,396,907,393,6.0804,420000,<1H OCEAN
-120.59,35.13,8,6638,1054,2710,966,4.6776,295500,<1H OCEAN
-121.32,38.03,25,2474,513,1947,524,2.5742,98400,INLAND
-117.14,32.8,33,2670,435,1256,431,3.9417,179800,NEAR OCEAN
-122.15,37.41,29,473,103,359,87,7.0309,475000,NEAR BAY
-118.24,33.96,37,1602,388,1553,342,2.0655,93400,<1H OCEAN
-122.24,37.8,49,2838,749,1487,677,2.5238,169300,NEAR BAY
-118.1,33.94,34,1947,284,841,277,6.1814,453600,<1H OCEAN
-120.66,35.46,17,3748,609,1860,612,4.5179,225600,<1H OCEAN
-118.26,34.08,52,984,276,994,260,2.3816,166700,<1H OCEAN
-118.41,34.17,35,2027,428,879,402,4.692,330900,<1H OCEAN
-121.94,37.33,37,1822,329,845,348,4.75,251100,<1H OCEAN
-117.32,34.09,30,1129,251,1034,237,2.3917,78600,INLAND
-117.99,33.76,30,1572,362,1351,359,3.369,190900,<1H OCEAN
-118.29,34.17,52,1732,305,875,311,4.325,292600,<1H OCEAN
-118.14,33.92,35,2378,559,1799,546,3.9327,190500,<1H OCEAN
-122.25,38.17,34,778,137,406,136,4.2955,121300,NEAR BAY
-118.08,34.08,38,1889,407,1330,396,3.9219,205200,<1H OCEAN
-118.32,34.06,36,3239,722,1383,612,4.5918,337000,<1H OCEAN
-121.46,37.73,20,2039,373,862,330,5.1629,222900,INLAND
-118.13,34.15,28,1119,334,739,323,2.5903,125000,<1H OCEAN
-117.05,32.63,31,4911,861,2334,843,4.1958,160100,NEAR OCEAN
-118.54,34.27,28,2309,300,931,302,6.7415,348200,<1H OCEAN
-117.05,32.57,22,2857,516,2412,496,4.7337,127600,NEAR OCEAN
-118.42,34.2,34,161,48,66,33,1,187500,<1H OCEAN
-121.81,37.37,24,962,146,492,155,7.2861,328000,<1H OCEAN
-121.4,36.84,52,1860,400,1215,367,2.9554,136500,INLAND
-118.21,34.11,32,2759,499,1661,533,4.3812,228200,<1H OCEAN
-117.96,33.73,22,3479,455,1454,488,6.6324,347600,<1H OCEAN
-124.14,40.59,22,1665,405,826,382,1.5625,66800,NEAR OCEAN
-122.3,37.9,37,2125,489,912,462,2.9219,217200,NEAR BAY
-117.71,33.65,16,3774,456,1587,430,8.6088,307400,<1H OCEAN
-118.14,34.06,39,2390,444,1246,422,3.7857,245700,<1H OCEAN
-120.02,39.24,24,1602,426,751,257,1.7609,99300,INLAND
-122.23,37.82,52,1611,203,556,179,8.7477,500001,NEAR BAY
-117.01,32.77,24,2311,536,1005,525,2.9,185200,<1H OCEAN
-117.4,34.58,18,755,169,483,165,1.4196,64700,INLAND
-122.7,38.46,29,2891,459,1012,441,5.0415,240200,<1H OCEAN
-119.78,36.78,37,2185,455,1143,438,1.9784,70700,INLAND
-118.11,34.06,18,2609,721,2221,703,2.3224,192300,<1H OCEAN
-121.97,37.36,36,765,134,306,136,4.575,247600,<1H OCEAN
-118.35,34.16,42,2267,478,1083,458,3.2015,250000,<1H OCEAN
-122.31,38.31,32,2577,458,1172,447,3.8796,175500,NEAR BAY
-121.26,38.64,40,1098,175,415,160,4.8375,217400,INLAND
-117.69,33.64,16,2592,372,1279,383,6.9741,262000,<1H OCEAN
-117.66,34.13,19,3995,554,1523,509,6.075,254100,INLAND
-117.02,32.81,27,1950,317,950,320,4.0656,164000,<1H OCEAN
-121.81,38,37,2724,579,1400,540,2.905,97300,INLAND
-122.48,37.75,52,2515,494,1583,477,4.3393,317600,NEAR BAY
-118.44,34.22,39,1529,344,913,314,3.325,178200,<1H OCEAN
-121.42,37.74,38,773,147,320,134,2.825,152500,INLAND
-119.64,36.33,41,3095,766,1852,721,1.4524,51700,INLAND
-117.04,32.98,16,1332,196,640,193,6.0226,192900,<1H OCEAN
-117.72,34.03,17,2902,476,1652,479,5.6029,161800,INLAND
-118.27,34.06,30,1771,788,2188,764,1.5885,154200,<1H OCEAN
-122.19,37.48,45,886,165,492,173,4.2708,267000,NEAR BAY
-118.31,34.03,29,2438,867,2114,753,0.8351,150000,<1H OCEAN
-114.57,33.52,27,173,35,117,34,2.0833,45000,INLAND
-118.44,34.2,28,1732,435,1198,417,2.9219,241300,<1H OCEAN
-122.24,38.15,10,6817,1188,4163,1135,4.4529,144100,NEAR BAY
-117.37,33.99,44,917,224,666,220,1.685,114200,INLAND
-118.27,34.05,24,323,214,751,189,1.8304,225000,<1H OCEAN
-121.84,37.38,33,835,181,781,169,5.1082,195800,<1H OCEAN
-118.3,34.05,39,993,506,1765,464,1.2786,121900,<1H OCEAN
-119.05,35.44,5,2133,487,1182,438,3.0268,77000,INLAND
-118.36,34.16,32,2455,556,989,493,4.0764,325000,<1H OCEAN
-123.02,38.54,35,2157,487,768,322,3.2315,136900,<1H OCEAN
-121.9,37.37,20,78,72,120,69,1.0938,187500,<1H OCEAN
-119.15,34.25,36,3511,664,2965,695,4.0878,186800,NEAR OCEAN
-120.42,34.95,33,3404,711,1579,639,3.1078,146700,<1H OCEAN
-121.22,37.79,5,3107,477,1549,443,4.4766,169400,INLAND
-121.74,37.19,11,1290,197,881,191,4.2039,500001,<1H OCEAN
-116.91,32.85,21,4152,703,2255,697,4.5096,159500,<1H OCEAN
-122.22,37.36,34,1559,243,600,242,8.7382,500001,NEAR OCEAN
-118.29,33.92,40,1935,461,1616,433,2.875,120200,<1H OCEAN
-118.11,34.16,52,2489,437,1101,438,4.2065,320300,INLAND
-121.95,37.54,29,3517,645,1724,585,4.6641,248900,<1H OCEAN
-118.26,34.01,47,1269,323,1628,325,1.5089,115800,<1H OCEAN
-122.07,37.37,30,2937,407,1097,407,7.9813,473500,NEAR BAY
-117.87,34.12,34,1004,220,772,217,3.8571,174500,<1H OCEAN
-118.19,33.99,37,2073,614,2544,598,2.9054,156300,<1H OCEAN
-117.88,33.84,26,1499,290,755,277,3.5893,238500,<1H OCEAN
-121,37.6,22,4412,925,3116,817,2.6899,82100,INLAND
-122.94,38.49,37,3169,719,777,344,2.7072,117100,<1H OCEAN
-119.43,36.59,15,1371,306,1266,309,1.767,63300,INLAND
-120.98,37.66,33,1959,342,984,356,4.5208,114200,INLAND
-121.96,36.97,23,4324,1034,1844,875,3.0777,263800,NEAR OCEAN
-122.21,37.78,46,2239,508,1390,569,2.7352,137300,NEAR BAY
-121.88,37.33,36,1904,689,3561,632,2.0972,187500,<1H OCEAN
-118.03,33.79,26,5321,889,2932,896,5.8914,237600,<1H OCEAN
-121.86,37.21,23,2552,305,916,316,9.1974,500001,<1H OCEAN
-117.04,32.6,18,4747,846,3002,872,3.9076,152900,NEAR OCEAN
-117.6,33.87,15,7626,1570,3823,1415,3.4419,138100,INLAND
-117.85,34,26,2712,402,1389,377,5.6513,227900,<1H OCEAN
-119.04,35.41,20,3268,833,1622,758,1.3587,67500,INLAND
-122.03,37.55,22,9167,1373,4319,1404,6.992,284800,NEAR BAY
-121.28,37.92,36,499,115,451,124,2.1705,60300,INLAND
-118.12,33.84,37,2706,462,1331,476,5.0719,220000,<1H OCEAN
-118.46,34.3,32,2424,476,2291,419,4.0337,158500,<1H OCEAN
-119.14,34.28,31,790,241,1095,222,2.25,75000,NEAR OCEAN
-119.24,35.77,28,1737,521,1764,514,1.7813,67800,INLAND
-117.97,33.93,33,1700,369,981,362,4.5461,194000,<1H OCEAN
-118.38,33.86,12,4235,735,1798,683,6.4242,365500,<1H OCEAN
-122.14,37.42,46,206,44,134,51,4.15,265000,NEAR BAY
-120.69,35.34,16,164,30,542,32,1.6563,42500,NEAR OCEAN
-122.2,37.8,43,3045,499,1115,455,4.9559,273000,NEAR BAY
-118.06,34.16,46,1467,298,816,267,3.6705,286500,INLAND
-117.04,32.63,26,2074,356,1228,335,4.1154,160200,NEAR OCEAN
-122.14,38.03,42,118,34,54,30,2.5795,225000,NEAR BAY
-122.41,37.8,52,2450,741,1415,664,2.8229,375000,NEAR BAY
-117.27,33.21,5,5764,996,3161,1012,4.4531,177500,<1H OCEAN
-119.09,35.33,9,7085,1148,3084,1052,4.997,142900,INLAND
-120.82,37.5,21,2974,495,1313,461,4.4886,135400,INLAND
-118.32,34.08,52,1164,257,575,251,3.125,380400,<1H OCEAN
-122.16,37.73,52,1114,206,425,207,2.5625,175000,NEAR BAY
-117.11,32.67,46,928,236,790,235,1.6806,92500,NEAR OCEAN
-121.8,38.01,37,3058,567,1351,523,3.5179,130800,INLAND
-121.62,39.13,41,1317,309,856,337,1.6719,64100,INLAND
-118.36,33.92,46,1231,231,793,256,4.1023,226800,<1H OCEAN
-117.85,33.81,32,1766,322,876,330,4.0417,234500,<1H OCEAN
-121.07,39.13,8,4839,832,1977,762,4.0848,155900,INLAND
-118.9,34.18,14,2627,328,1121,328,7.0504,333800,<1H OCEAN
-119.58,36.77,19,3225,548,1760,542,4.0227,126500,INLAND
-121.77,36.91,8,2715,750,2580,718,2.8348,162000,<1H OCEAN
-118.72,34.29,22,3266,529,1595,494,6.0368,248000,<1H OCEAN
-118.27,33.89,32,1969,397,1349,370,4.4659,138100,<1H OCEAN
-117.1,32.68,47,771,224,637,212,2.0156,90300,NEAR OCEAN
-117.23,34.12,6,4464,1093,2364,952,2.3848,81600,INLAND
-121.28,37.98,52,941,184,414,171,2.1429,69900,INLAND
-118.02,34.08,29,2741,667,2449,677,3.6944,175200,INLAND
-124.17,40.8,52,1557,344,758,319,1.8529,62500,NEAR OCEAN
-122.12,37.48,36,880,177,795,188,3.8194,159400,NEAR BAY
-121.55,39.1,27,1783,441,1163,409,1.2857,47000,INLAND
-122.22,37.46,13,2888,546,1182,504,6.0255,409300,NEAR OCEAN
-117.1,32.57,14,5058,1299,3662,1193,2.3253,133700,NEAR OCEAN
-118.18,33.98,24,1880,642,2646,605,2.1836,162000,<1H OCEAN
-118.44,34.03,37,975,189,489,202,4.2434,331000,<1H OCEAN
-118.14,33.88,24,3305,982,2085,881,2.6641,168200,<1H OCEAN
-118.26,34.13,37,1383,470,1185,451,2.5,207100,<1H OCEAN
-121.31,37.9,38,226,44,125,38,2.9,125000,INLAND
-117.69,33.51,4,1223,275,505,244,4.6607,173000,<1H OCEAN
-122.07,37.58,16,1606,240,1117,268,6.0661,247000,NEAR BAY
-121.9,37.27,28,4538,685,1996,667,5.4609,263600,<1H OCEAN
-119.73,36.83,14,3348,491,1584,493,5.0828,111400,INLAND
-118.27,34.25,39,699,150,358,143,4.4375,195800,<1H OCEAN
-121.27,38.75,43,1292,307,647,249,2.7188,85300,INLAND
-118.12,33.95,35,1604,280,802,280,5.752,291000,<1H OCEAN
-118.49,34.22,30,1756,314,899,288,5.0325,238200,<1H OCEAN
-118.41,34.02,16,5825,1866,3390,1752,3.0965,320000,<1H OCEAN
-121.84,38.13,33,596,105,212,94,4.2813,81300,INLAND
-122.62,38.95,19,2230,538,832,359,1.6865,58800,INLAND
-117.04,32.71,28,5274,991,3727,961,3.57,109800,NEAR OCEAN
-117.12,33.27,11,3016,601,1727,541,4.9375,232800,<1H OCEAN
-122.41,37.77,52,361,76,168,55,3.2292,275000,NEAR BAY
-118.52,34.22,35,1620,272,1052,248,5.5209,203300,<1H OCEAN
-120.71,37.38,14,1979,432,1756,382,2.6923,71400,INLAND
-121.88,37.37,14,6016,1404,3258,1316,3.5745,333700,<1H OCEAN
-118.16,33.97,32,1347,434,1756,438,1.9464,190600,<1H OCEAN
-117.61,34.04,8,4116,766,1785,745,3.1672,150200,INLAND
-118.33,34.08,50,2989,832,1345,775,3.2426,442900,<1H OCEAN
-117.74,34.08,35,1613,298,911,293,3.4398,134300,INLAND
-121.78,37.34,11,3195,410,1774,418,7.0671,378200,<1H OCEAN
-121.17,37.97,28,1374,248,769,229,3.6389,130400,INLAND
-121.54,39.13,18,4289,1021,2707,939,1.3375,59600,INLAND
-118.25,34.01,28,481,136,596,128,1.2396,90300,<1H OCEAN
-121.6,39.75,19,2888,591,984,499,1.9766,92600,INLAND
-121.84,37.32,22,3015,581,2491,530,4.3419,176300,<1H OCEAN
-117.85,33.81,26,4186,767,2447,777,4.9917,248100,<1H OCEAN
-117.99,34.04,30,4468,959,4027,938,3.185,168300,<1H OCEAN
-118.58,34.19,27,4286,1071,2863,1033,3.3125,222800,<1H OCEAN
-117.93,33.68,33,2664,432,1197,429,5.069,264200,<1H OCEAN
-117.28,34.41,14,2105,396,960,396,2.9934,118200,INLAND
-117.24,32.75,33,1980,614,1057,567,2.2042,231300,NEAR OCEAN
-119.62,37.33,7,3389,621,1268,474,3.0224,147800,INLAND
-119.42,35.19,26,890,172,483,170,4.15,68200,INLAND
-119.16,34.27,24,1824,331,1049,320,5.9181,221100,NEAR OCEAN
-117.23,33.1,4,1862,291,685,248,7.745,237400,NEAR OCEAN
-121.3,37.94,52,24,6,23,5,2.375,67500,INLAND
-121.95,37.11,21,2387,357,913,341,7.736,397700,<1H OCEAN
-121.31,38,35,2097,351,977,358,4.3958,108400,INLAND
-117.11,34.43,14,3026,556,1349,485,2.8021,111200,INLAND
-122.47,37.78,52,1941,436,955,425,4.1339,396400,NEAR BAY
-122.16,37.7,36,2239,391,1203,379,5.0043,190400,NEAR BAY
-117.06,32.8,17,2247,340,973,318,5.5,222000,<1H OCEAN
-122.19,37.77,41,2036,510,1412,454,2.0469,89300,NEAR BAY
-118.28,34.04,24,1283,545,1932,516,1.2969,160200,<1H OCEAN
-118.36,33.85,34,1086,197,509,158,6.1133,349300,<1H OCEAN
-121.98,37.97,26,2738,428,1316,430,5.2442,213200,INLAND
-120.04,39.24,30,2369,469,510,213,2.65,123800,INLAND
-118.31,34.1,36,2288,1033,3030,890,1.5328,250000,<1H OCEAN
-121.93,38.01,9,2294,389,1142,365,5.3363,160800,INLAND
-117.04,34.04,30,3474,735,1674,691,2.5863,98300,INLAND
-118.28,34,44,2636,725,2182,651,1.432,124000,<1H OCEAN
-122.17,37.72,46,1369,284,766,289,3.5313,159700,NEAR BAY
-122.77,38.29,32,3201,542,1869,519,3.2442,268000,<1H OCEAN
-121.74,38.15,22,1910,326,1001,345,4.8173,115800,INLAND
-118.03,34.08,37,775,179,726,183,3.25,159200,INLAND
-122.08,37.38,36,782,130,348,128,6.828,383900,NEAR BAY
-121.81,37.36,20,3189,420,1234,389,7.5813,374100,<1H OCEAN
-118.41,34.26,38,870,205,1065,222,2.5313,136100,<1H OCEAN
-120.95,37.59,43,1561,354,862,332,1.8466,81500,INLAND
-118.03,33.84,28,3857,857,2328,830,4.0156,196000,<1H OCEAN
-118.06,34.07,30,2308,674,3034,691,2.3929,184400,<1H OCEAN
-121.47,38.57,50,3233,968,1223,837,1.2041,168100,INLAND
-118.56,34.23,36,2406,432,1242,454,4.6944,221800,<1H OCEAN
-116.97,32.83,23,149,32,101,34,2.6458,112500,<1H OCEAN
-118.5,33.97,52,709,329,388,313,2.2643,350000,<1H OCEAN
-118.38,34.05,52,2053,480,900,417,3.0707,417900,<1H OCEAN
-118.07,34.58,34,3416,601,1929,567,4.0147,107400,INLAND
-117.88,34.12,36,2029,351,1327,364,4.1836,164300,<1H OCEAN
-117.99,35.16,15,2180,416,960,370,2.875,87800,INLAND
-118.3,33.98,48,2010,445,1208,404,1.6611,95800,<1H OCEAN
-116.9,34.52,20,3481,840,1694,587,1.4,77700,INLAND
-122.08,37.71,38,1663,295,781,301,5.0519,227000,NEAR BAY
-122.89,38.42,28,2388,437,1015,381,5.1512,268300,<1H OCEAN
